,title,price,rating,image,description,url
0,"Lenovo IdeaPad 1 – AMD Ryzen5-5500U – 15.6"" Full HD (1920x1080) – 8GB Memory – 512GB SSD Storage – Windows 11 - Cloud Grey – (2023 Model)",$329.99,4.4 ,https://m.media-amazon.com/images/I/81O3TvrFnUL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Combine value with a master multitasker in the Lenovo IdeaPad 1’s brand new and ultra-efficient AMD Ryzen™ 5 5500U Processor. Packed in a thin and compact 17.9mm chassis that weighs just 3.5 lbs, it goes where you do. Get the most out of your 15.6"" device with 87% Active Area Ratio for more screen and Dolby Audio speakers, along with up to 12 hours of battery life and rapid charge. Great for video calls, the 720p camera comes with a privacy shutter to keep out spying eyes, as well as Smart Noise Cancelling to eliminate background noise. This portable multitasker allows for a better binging experience anytime, anywhere.",https://www.amazon.com/Lenovo-IdeaPad-Ryzen5-5500U-1920x1080-Storage/dp/B0CJB5N9BQ/ref=sr_1_1?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-1
,title,price,rating,image,description,url
0,"Lenovo Tab P12-2023 - Expansive Touchscreen Tablet - 12.7"" 3K Display - 13MP Camera - 8GB Memory - 128GB UFS Storage - Android 13 - Dolby Atmos - Quad JBL Speakers - Pen Included",$299.99,4.5 ,https://m.media-amazon.com/images/I/61Zc--4CTXL.__AC_SY300_SX300_QL70_FMwebp_.jpg,"The Lenovo Tab P12 automatically Bluetooth pairs with the included Lenovo Tab Pen Plus, getting you ready to complete outlines in class and play games after school with up to 10 hours of battery life. An all metal unibody with dual tone design in Storm Grey houses a 12.7-inch 3K touchscreen, perfect for using Lenovo Freestyle to share and duplicate files freely between your tablet and Windows PC devices.",https://www.amazon.com/Lenovo-Tab-P12-2023-Expansive-Touchscreen/dp/B0CKC3RTJH/ref=sr_1_2?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-2
,title,price,rating,image,description,url
0,"Lenovo Legion Go 8.8"" 144Hz WQXGA Handheld Touchscreen Gaming PC AMD Ryzen Z1 Extreme 16GB RAM 512GB SSD Shadow Black, 8APU1",$699.99,4.6 ,https://m.media-amazon.com/images/I/5126ZFsdcSL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Gaming Handheld,https://www.amazon.com/Lenovo-Legion-Handheld-Touchscreen-Extreme/dp/B0CM74YFSP/ref=sr_1_3?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-3
,title,price,rating,image,description,url
0,"Lenovo Legion 5i Gaming Laptop, NVIDIA GeForce RTX 4070 8G, 16” WQXGA Display, Intel Core i7-14650HX, 32GB RAM, 512GB SSD, 2560x1600 px, Windows 11, Luna Grey","$1,499.99",,https://m.media-amazon.com/images/I/81zeYJghFtL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Crush your next level or mission on the go with the feather-light Lenovo Legion 5i gaming laptop. This ultra-portable powerhouse defies expectations, packing a gorgeous 16-inch display into a sleek chassis that weighs just over 5 pounds and measures an incredibly thin 0.99 inches. Conquer demanding titles and creative projects with the help of the Windows 11 OS, store your victories and creative assets on a speedy solid-state drive, and connect all your essential peripherals with ease thanks to the 5 USB ports. The Legion 5i even features a backlit keyboard and webcam with an e-shutter, enhancing your security after a long gaming session.",https://www.amazon.com/Lenovo-GeForce-Display-i7-14650HX-2560x1600/dp/B0CVLFS7WP/ref=sr_1_4?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-4
,title,price,rating,image,description,url
0,"Lenovo L15 – Mobile Monitor - 15.6"" FHD Display - 60Hz - 6ms–14ms Response Time - Low Bluelight Certified - Foldable Stand - USB Type-C 3.2 Gen 1 - USB 2.0",$160.30,4.1 ,https://m.media-amazon.com/images/I/81kr9cf9Y+L._AC_SY300_SX300_.jpg,"Wherever you set up for the day, the Lenovo L15 mobile computer monitor lets you have your ideal dual display setup. The 15.6-inch Full HD resolution mobile display connects to your notebook via USB Type-C cable so you can attend online lectures or play music videos while you take on a hybrid work day. With a 6mm thickness and foldable stand, the L15 slides into the included sleeve and is ready to deliver an uncomplicated experience.",https://www.amazon.com/Lenovo-Monitor-Portable-Display-Certified/dp/B0B5GRGCX5/ref=sr_1_5?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-5
,title,price,rating,image,description,url
0,"Lenovo - 2022 - IdeaPad 3 - Travel Laptop Computer - AMD Ryzen 5 - 17.3"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Home",$581.99,4.4 ,https://m.media-amazon.com/images/I/71uyJFXOaBL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Travel light and pack heavy AI-infused firepower with the slim and light Lenovo IdeaPad 3 laptop. This Windows laptop computer is full of features that you're looking for, whether you're a WFH pro, an on-the-go college student, or anyone who needs a fast processor in a sleek, easy-to-pack PC with a gorgeous hairline-sheet cover. The IdeaPad 3 is built with an AMD Ryzen 5 5625U processor – part of the powerful AMD 5000 series – and Lenovo AI Engine features that keep your sessions stable, productive and fast. Expand your horizons with the 17.3"" FHD (1920 x 1080) IPS display that gives you a great view from any angle , while the narrow bezels give you more screen space with an 88% active area ratio (that's the amount of screen compared with the size of its borders). With AMD Radeon Vega 7 Graphics, you can work, browse, play games, or stream your favorite shows. Designed to keep your life simple and uncluttered, WiFi 6 and Bluetooth® 5.0 are built into the laptop, and you can connect with two USB-A ports, HDMI™, an audio jack, plus a full-function USB-C port. You'll also enjoy video calls that look and sound better on the crystal-clear HD camera with Smart Noise Cancellation and Dolby Audio® to let you hear everything clearly. With up to 10 hours* of battery life, you can take the Lenovo IdeaPad 3 laptop everywhere you go.* All battery life claims are approximate and based on results using the MobileMark® 2018 v1.0.2.46 battery life benchmark test. Actual battery life will vary and depends on many factors such as product configuration and usage, software use, wireless functionality, power management settings, and screen brightness. The maximum capacity of the battery will decrease with time and use.",https://www.amazon.com/Lenovo-IdeaPad-Computer-Display-Storage/dp/B09YWMXYQG/ref=sr_1_6?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-6
,title,price,rating,image,description,url
0,"Lenovo Tab M10 Plus (3rd Gen) - 2022 - Long Battery Life - 10"" FHD - Front & Rear 8MP Camera - 4GB Memory - 128GB Storage - Android 12 or later (Grey)",$169.99,4.4 ,https://m.media-amazon.com/images/I/611OVC7ZSlL.__AC_SY300_SX300_QL70_FMwebp_.jpg,"You can binge longer and study smarter with the Lenovo Tab M10 Plus 3rd Gen Android Tablet. Sleek, thin, and lightweight, this handy 10-inch tablet goes wherever you do, packing power and performance into a bold and contemporary aluminum chassis that's just 0.29"" thin and as little as 1.03 lbs. Slip your Lenovo tablet into a shoulder bag, your school backpack, or carry it in folio case (available separately). The bright and colorful 10.6"" display offers full HD clarity, so you can stream your favorite movies and shows for hours! Plus, with the special Reading Mode and TÜV Low Blue Light certification, you can enjoy long, comfortable hours of screen time on this Android tablet without straining your eyes. Music and audio sound great with the immersive quad speaker system optimized with Dolby Atmos®.This portable entertainment tablet is great for students, too, as you'll enjoy all-day performance with octa-core CPU and long battery life – including up to 12 hours of video playback time*. Take it with you wherever you go for reading, note-taking, streaming, and staying connected. With WiFi and Bluetooth® built in, you can watch your favorite movie, check your email, or have a video chat with friends or family from home or on the go. * All battery life claims are approximate and based on internal testing under optimal laboratory and network conditions. Actual battery performance will vary and depend on numerous factors including product configuration and usage, software, operating conditions, wireless functionality, power management settings, screen brightness and other factors. The maximum capacity of the battery will naturally decrease with time and usage.",https://www.amazon.com/Lenovo-Tab-M10-Plus-Tablet/dp/B09TPY1PZZ/ref=sr_1_7?crid=WRXKMMIQUFL0&dib=eyJ2IjoiMSJ9.-9Xck_fpe4WUbhPF75eIwBUMm9G2SuISiEjNm1sWXQjkjIueqE6RvW6u8VLinjRTnHeTaFGZqDxe1ZLrejtbleoaOYWPk81koF_PqwJE12MlmD19g3mIXWCDjbc-LRUcjhXks380VQjpFC9tJ0UDvm4A4TmA0WSU5JCp_1YOCCy7v0bheFF1dCa3rnErrh_z36AIBjdojIJwpc6M8uhokRnbS7VH-9hvsis_5B69xqqRH8gFcRairhrOq3zK5zK5IzeWnC0o2msXKECUDEFEKh4Ht0QKcbFoJjUpTCoEMlg.27K72Qt0jcRZdf9-rDTGcRnDPxoOvxF5AvOZdDmJj5g&dib_tag=se&keywords=lenovo&qid=1713507980&s=computers-intl-ship&sprefix=lenov%2Ccomputers-intl-ship%2C430&sr=1-7
,title,price,rating,image,description,url
